#RPLIDAR SCAN DATA
#COUNT=1061
#Angule	Distance	Quality
37.9962 260.0 188
38.3862 258.0 188
38.7653 256.0 188
39.0894 254.0 188
39.4684 253.0 188
39.7925 251.0 188
40.1715 250.0 188
40.5450 248.0 188
40.8746 246.0 188
41.2482 245.0 188
41.5778 244.0 188
41.9513 242.0 188
42.3413 241.0 188
42.6544 240.0 188
43.0444 238.0 188
43.3740 237.0 188
43.7476 235.0 188
44.1211 234.0 188
44.4507 233.0 188
44.8242 231.0 188
45.1538 230.0 188
45.5273 229.0 188
45.8569 228.0 188
46.2305 227.0 188
46.5601 226.0 188
46.9336 224.0 188
47.2632 224.0 188
47.6367 223.0 188
48.0267 221.0 188
48.3398 220.0 188
48.7299 219.0 188
49.0430 218.0 188
49.3726 218.0 188
49.7461 216.0 188
50.1361 215.0 188
50.4657 214.0 188
50.7788 214.0 188
51.1688 213.0 188
51.4819 212.0 188
51.8719 211.0 188
52.2455 210.0 188
52.5751 209.0 188
52.9486 208.0 188
53.2782 208.0 188
53.5913 207.0 188
53.9813 206.0 188
54.2944 205.0 188
54.6844 204.0 188
54.9976 204.0 188
55.3876 203.0 188
55.7172 202.0 188
56.0907 201.0 188
56.4203 201.0 188
56.7334 200.0 188
57.0575 200.0 188
57.4365 199.0 188
57.8265 198.0 188
58.1396 197.0 188
58.4637 197.0 188
58.8428 196.0 188
59.2328 195.0 188
59.5459 195.0 188
59.8700 194.0 188
60.1996 194.0 188
60.5731 193.0 188
60.9027 193.0 188
61.2762 192.0 188
61.6058 192.0 188
61.9354 191.0 188
62.2485 191.0 188
62.6385 190.0 188
62.9517 190.0 188
63.3417 189.0 188
63.6713 189.0 188
63.9844 188.0 188
64.3085 188.0 188
64.6875 187.0 188
65.0116 187.0 188
65.3906 186.0 188
65.7147 186.0 188
66.0443 185.0 188
66.3574 185.0 188
66.6870 185.0 188
67.0605 184.0 188
67.3901 184.0 188
67.7802 183.0 188
68.0933 183.0 188
68.4833 182.0 188
68.7964 182.0 188
69.1205 182.0 188
69.4501 181.0 188
69.7632 181.0 188
70.0928 181.0 188
70.4663 180.0 188
70.7959 180.0 188
71.1090 180.0 188
71.4825 179.0 188
71.8121 179.0 188
72.1362 179.0 188
72.4493 179.0 188
72.8229 178.0 188
73.1525 178.0 188
73.4656 178.0 188
73.7952 178.0 188
74.1248 177.0 188
74.4324 177.0 188
74.7620 177.0 188
75.0751 177.0 188
75.4651 176.0 188
75.7782 176.0 188
76.1078 176.0 188
76.4209 176.0 188
76.7450 176.0 188
77.0746 176.0 188
77.4481 175.0 188
77.7612 175.0 188
78.0908 175.0 188
78.4204 175.0 188
78.7335 175.0 188
79.0576 175.0 188
79.3707 175.0 188
79.7607 174.0 188
80.0739 174.0 188
80.4034 174.0 188
80.7166 174.0 188
81.0461 174.0 188
81.3702 174.0 188
81.6833 174.0 188
82.0129 174.0 188
82.3260 174.0 188
82.7161 173.0 188
83.0292 173.0 188
83.3588 173.0 188
83.6719 173.0 188
83.9960 173.0 188
84.3256 173.0 188
84.6387 173.0 188
84.9683 173.0 188
85.2759 173.0 188
85.6055 173.0 188
85.9351 173.0 188
86.2482 173.0 188
86.5778 173.0 188
86.8854 173.0 188
87.2150 173.0 188
87.5281 173.0 188
87.8577 173.0 188
88.1873 173.0 188
88.4949 173.0 188
88.8245 173.0 188
89.1376 173.0 188
89.4672 173.0 188
89.7968 173.0 188
90.1044 173.0 188
90.4340 173.0 188
90.7471 173.0 188
91.0107 174.0 188
91.3403 174.0 188
91.6699 174.0 188
91.9830 174.0 188
92.3071 174.0 188
92.6202 174.0 188
92.9498 174.0 188
